"Age (in single years) and average age (127)","Total - Sex","  Male","  Female", 
"Total - Age",13448490,6559395,6889100 
"  0 to 14 years",2207975,1131615,1076350 
"    0 to 4 years",697360,357300,340060 
"      Under 1 year",134725,68905,65820 
"      1",136190,69885,66305 
"      2",138910,71070,67835 
"      3",142210,72990,69220 
"      4",145330,74450,70880 
"    5 to 9 years",756080,387315,368765 
"      5",145975,75005,70970 
"      6",150230,76840,73390 
"      7",152115,78035,74080 
"      8",155175,79425,75745 
"      9",152590,78010,74580 
"    10 to 14 years",754530,386995,367535 
"      10",150385,77150,73230 
"      11",150985,77430,73560 
"      12",152285,78175,74110 
"      13",149325,76625,72700 
"      14",151550,77620,73930 
"  15 to 64 years",8988865,4412120,4576750 
"    15 to 19 years",811665,416730,394940 
"      15",153900,79055,74845 
"      16",159895,82300,77595 
"      17",160010,82130,77885 
"      18",165900,85015,80885 
"      19",171960,88225,83735 
"    20 to 24 years",894390,457820,436570 
"      20",179260,91975,87285 
"      21",181070,93320,87750 
"      22",177135,90590,86550 
"      23",178275,91205,87075 
"      24",178645,90730,87915 
"    25 to 29 years",874350,436345,438005 
"      25",180160,91265,88895 
"      26",179785,90265,89525 
"      27",173100,86280,86820 
"      28",169895,84030,85860 
"      29",171410,84505,86905 
"    30 to 34 years",864765,420800,443965 
"      30",174365,85575,88795 
"      31",174720,85425,89300 
"      32",172710,84150,88555 
"      33",172915,83860,89050 
"      34",170055,81790,88265 
"    35 to 39 years",842485,402895,439580 
"      35",171435,82410,89025 
"      36",168910,81005,87905 
"      37",167350,79580,87770 
"      38",166420,79475,86940 
"      39",168365,80420,87945 
"    40 to 44 years",871880,418465,453410 
"      40",171095,81655,89440 
"      41",173855,83140,90715 
"      42",171960,82340,89620 
"      43",175090,84620,90470 
"      44",179890,86710,93175 
"    45 to 49 years",937385,453105,484280 
"      45",188515,91035,97475 
"      46",187810,90815,96995 
"      47",186750,90160,96590 
"      48",185965,89980,95990 
"      49",188345,91125,97225 
"    50 to 54 years",1056345,517170,539170 
"      50",200775,98260,102515 
"      51",213005,103890,109115 
"      52",217305,106655,110650 
"      53",216445,106175,110270 
"      54",208810,102180,106630 
"    55 to 59 years",989460,482280,507175 
"      55",209375,101960,107410 
"      56",203665,99450,104215 
"      57",196475,95845,100630 
"      58",192580,94200,98375 
"      59",187370,90825,96550 
"    60 to 64 years",846145,406500,439645 
"      60",180695,87335,93355 
"      61",177890,85570,92320 
"      62",169410,81105,88310 
"      63",162470,77875,84600 
"      64",155685,74620,81065 
"  65 years and over",2251660,1015655,1236000 
"    65 to 69 years",737745,352475,385270 
"      65",151965,73110,78855 
"      66",147710,70315,77390 
"      67",145400,69490,75905 
"      68",146530,69775,76755 
"      69",146140,69780,76360 
"    70 to 74 years",528640,250455,278185 
"      70",116195,55390,60800 
"      71",109810,52280,57530 
"      72",107245,50920,56325 
"      73",102200,48275,53925 
"      74",93195,43590,49605 
"    75 to 79 years",393010,179810,213195 
"      75",87745,40485,47255 
"      76",82660,37885,44775 
"      77",79215,36195,43020 
"      78",74235,33870,40365 
"      79",69160,31380,37780 
"    80 to 84 years",291185,126825,164360 
"      80",66845,29940,36905 
"      81",61830,27150,34685 
"      82",56970,24805,32160 
"      83",54835,23595,31245 
"      84",50705,21330,29370 
"    85 years and over",301075,106090,194985 
"      85 to 89 years",188470,73050,115420 
"        85",47720,19505,28210 
"        86",42190,16850,25335 
"        87",36720,14070,22645 
"        88",33135,12395,20735 
"        89",28705,10215,18490 
"      90 to 94 years",88385,27400,60990 
"        90",25475,8705,16770 
"        91",20725,6620,14105 
"        92",17355,5205,12155 
"        93",13875,3900,9975 
"        94",10965,2975,7990 
"      95 to 99 years",21210,5155,16060 
"        95",8220,2195,6025 
"        96",5610,1390,4225 
"        97",3400,720,2680 
"        98",2365,525,1835 
"        99",1615,325,1295 
"      100 years and over",3010,490,2515 
