Reporting_PHU_id,Status_PHU,start_date
2226,1,2020-11-07
2226,6,2020-12-26
2226,2,2021-02-16
2227,2,2020-11-07
2227,3,2020-11-16
2227,4,2020-12-21
2227,6,2020-12-26
2227,3,2021-02-16
2227,4,2021-03-22
2240,1,2020-11-07
2240,2,2020-11-23
2240,6,2020-12-26
2240,4,2021-02-16
2240,3,2021-03-01
2240,4,2021-03-22
2230,2,2020-11-07
2230,3,2020-11-16
2230,4,2020-11-23
2230,6,2020-12-26
2230,4,2021-02-16
2258,2,2020-11-07
2258,3,2020-11-16
2258,2,2020-11-23
2258,3,2020-12-14
2258,6,2020-12-26
2258,3,2021-02-16
2258,4,2021-03-29
2233,1,2020-11-07
2233,2,2020-11-23
2233,6,2020-12-26
2233,2,2021-02-16
2233,1,2021-03-01
2234,2,2020-11-07
2234,3,2020-11-30
2234,6,2020-12-26
2234,3,2021-02-16
2234,2,2021-03-01
2234,3,2021-03-08
2235,1,2020-11-07
2235,2,2020-12-07
2235,6,2020-12-26
2235,3,2021-02-16
2235,2,2021-03-08
2236,2,2020-11-07
2236,4,2020-11-16
2236,6,2020-12-26
2236,4,2021-02-16
2237,2,2020-11-07
2237,4,2020-11-16
2237,5,2020-12-21
2237,6,2020-12-26
2237,4,2021-02-16
2237,5,2021-03-29
2238,1,2020-11-07
2238,2,2020-11-30
2238,6,2020-12-26
2238,1,2021-02-10
5183,1,2020-11-07
5183,2,2020-11-16
5183,3,2020-11-23
5183,6,2020-12-26
5183,3,2021-02-16
5183,2,2021-03-01
2241,1,2020-11-07
2241,2,2020-11-23
2241,3,2020-12-21
2241,6,2020-12-26
2241,1,2021-02-10
2241,2,2021-03-22
2242,1,2020-11-07
2242,2,2020-11-30
2242,6,2020-12-26
2242,3,2021-02-16
2242,4,2021-02-22
2242,5,2021-03-15
2243,1,2020-11-07
2243,2,2020-12-14
2243,6,2020-12-26
2243,1,2021-02-16
2243,2,2021-03-15
2243,4,2021-03-22
2244,1,2020-11-07
2244,2,2020-11-16
2244,3,2020-12-07
2244,4,2020-12-14
2244,6,2020-12-26
2244,4,2021-02-16
2244,3,2021-03-01
2244,4,2021-03-30
2246,2,2020-11-07
2246,3,2020-11-16
2246,4,2020-12-21
2246,6,2020-12-26
2246,5,2021-02-16
2246,4,2021-03-01
2247,1,2020-11-07
2247,6,2020-12-26
2247,4,2021-03-08
2247,2,2021-03-22
2249,1,2020-11-07
2249,2,2020-11-30
2249,6,2020-12-26
2249,2,2021-02-16
2249,4,2021-03-15
2251,3,2020-11-07
2251,6,2020-12-26
2251,3,2021-02-16
2251,4,2021-03-19
2253,4,2020-11-07
2253,5,2020-11-23
2253,6,2020-12-26
2253,5,2021-03-08
2255,1,2020-11-07
2255,2,2020-11-23
2255,6,2020-12-26
2255,2,2021-02-16
2255,4,2021-03-08
2256,1,2020-11-07
2256,6,2020-12-26
2256,3,2021-02-16
2256,2,2021-03-22
2265,2,2020-11-07
2265,3,2020-11-16
2265,4,2020-11-23
2265,6,2020-12-26
2265,4,2021-02-16
2257,1,2020-11-07
2257,6,2020-12-26
2257,1,2021-02-10
2257,2,2021-03-08
2260,2,2020-11-07
2260,3,2020-11-23
2260,4,2020-12-14
2260,6,2020-12-26
2260,4,2021-02-16
2260,5,2021-03-01
2260,4,2021-03-08
4913,1,2020-11-07
4913,2,2020-11-16
4913,3,2020-11-23
4913,6,2020-12-26
4913,4,2021-02-16
4913,3,2021-03-01
2261,1,2020-11-07
2261,2,2020-11-16
2261,1,2020-12-21
2261,6,2020-12-26
2261,3,2021-02-16
2261,4,2021-03-08
2261,5,2021-03-12
2262,1,2020-11-07
2262,2,2020-11-23
2262,3,2020-12-07
2262,6,2020-12-26
2262,4,2021-02-16
2262,5,2021-03-01
2263,1,2020-11-07
2263,2,2020-12-21
2263,6,2020-12-26
2263,1,2021-02-16
2263,3,2021-03-08
2263,2,2021-03-22
2263,4,2021-03-26
3895,Other,2020-11-07
3895,4,2020-11-16
3895,5,2020-11-23
3895,6,2020-12-26
3895,5,2021-03-08
2266,2,2020-11-07
2266,3,2020-11-16
2266,4,2020-12-14
2266,6,2020-12-26
2266,4,2021-02-16
2266,3,2021-03-22
2268,1,2020-11-07
2268,2,2020-11-16
2268,3,2020-11-23
2268,4,2020-11-30
2268,5,2020-12-14
2268,6,2020-12-26
2268,4,2021-02-16
2270,3,2020-11-07
2270,4,2020-11-16
2270,5,2020-12-14
2270,6,2020-12-26
2270,4,2021-02-22
