_id,report_date,previous_day_doses_administered,total_doses_administered,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated
1,2020-12-24T00:00:00,"","10,756","",""
2,2020-12-30T00:00:00,"4,595","18,603","",""
3,2020-12-31T00:00:00,"5,463","23,502","",""
4,2021-01-01T00:00:00,"5,415","28,887","",""
5,2021-01-02T00:00:00,"4,305","33,191","",""
6,2021-01-03T00:00:00,"4,361","37,551","",""
7,2021-01-04T00:00:00,"4,808","42,419","",""
8,2021-01-05T00:00:00,"7,607","50,030","",""
9,2021-01-06T00:00:00,"10,350","60,380",860,430
10,2021-01-07T00:00:00,"12,251","72,631","2,173","1,087"
11,2021-01-08T00:00:00,"14,932","87,563","4,053","2,027"
12,2021-01-09T00:00:00,"15,700","103,263","5,880","2,940"
13,2021-01-10T00:00:00,"9,983","113,246","5,884","2,942"
14,2021-01-11T00:00:00,"8,859","122,105","5,884","2,942"
15,2021-01-12T00:00:00,"11,448","133,553","6,046","3,023"
16,2021-01-13T00:00:00,"11,231","144,784","8,778","4,389"
17,2021-01-14T00:00:00,"14,237","159,021","13,293","6,647"
18,2021-01-15T00:00:00,"15,609","174,630","17,094","8,547"
19,2021-01-16T00:00:00,"14,460","189,090","19,333","9,667"
20,2021-01-17T00:00:00,"11,007","200,097","21,714","10,857"
21,2021-01-18T00:00:00,"9,691","209,788","21,752","10,876"
22,2021-01-19T00:00:00,"14,346","224,134","25,609","12,805"
23,2021-01-20T00:00:00,"13,784","237,918","32,361","16,181"
24,2021-01-21T00:00:00,"15,899","253,817","40,225","20,113"
25,2021-01-22T00:00:00,"11,168","264,985","49,292","24,646"
26,2021-01-23T00:00:00,"11,161","276,146","57,907","28,954"
27,2021-01-24T00:00:00,"4,427","280,573","62,881","31,441"
28,2021-01-25T00:00:00,"5,537","286,110","71,256","35,628"
29,2021-01-26T00:00:00,"9,707","295,817","83,285","41,643"
30,2021-01-27T00:00:00,"9,513","305,330","96,459","48,230"
31,2021-01-28T00:00:00,"11,910","317,240","110,571","55,286"
32,2021-01-29T00:00:00,"10,215","327,455","123,357","61,679"
33,2021-01-30T00:00:00,"9,373","336,828","135,574","67,787"
34,2021-01-31T00:00:00,"2,816","339,644","137,698","68,849"
35,2021-02-01T00:00:00,"2,256","341,900","140,585","70,293"
